PN,Exercise,Description,Execute x1,Calories Burned (per rep.),Sets,Reps,Calories Burned (per workout),TCB
42plan,Pike Press,"Shoulder exercise similar to a standing overhead press, but performed in a pike position to increase the emphasis on the shoulders.",1. Start in a pike position with your hands on the ground and your hips raised high so your body forms an inverted V shape. 2. Lower your head towards the ground by bending your elbows. 3. Push back up to the starting position by straightening your arms.,2,5,8,80,
42plan,Jump Lunges,"Lower body exercise involving a lunge followed by a jump, targeting the quadriceps, hamstrings, and glutes.","1. Start in a lunge position with one foot forward and the other foot extended back. 2. Jump explosively into the air, switching the position of your legs mid-air. 3. Land softly in a lunge position with the opposite foot forward.",2,5,16,160,
42plan,Single-Leg Glute Bridges,"Lower body exercise targeting the glutes and hamstrings, performed with one leg raised off the ground.",1. Lie on your back with knees bent and feet flat on the floor. 2. Lift one leg off the ground and extend it straight up. 3. Press through the heel of the grounded foot to lift your hips towards the ceiling. 4. Lower your hips back down and repeat on the other leg.,2,5,20,200,
42plan,Typewriter Pull-Ups,"Pull-up variation involving lateral movement, performed by pulling up to one side, then moving horizontally and pulling up again.","1. Grip the pull-up bar with hands shoulder-width apart and palms facing away. 2. Pull yourself up towards one side of the bar, bringing your shoulder towards the bar. 3. Move horizontally to the other side of the bar and pull yourself up again. 4. Continue alternating sides in a smooth, controlled motion.",2,5,5,50,
,,,,,,,,
43plan,Box Jumps,"Explosive lower body exercise involving jumping onto a box or platform, targeting the quadriceps, hamstrings, and glutes.","1. Stand in front of a sturdy box or platform with feet shoulder-width apart. 2. Bend your knees and swing your arms back. 3. Explosively jump onto the box, landing softly with both feet. 4. Step back down and repeat.",2,5,8,80,490
43plan,Mountain Climber Push-Ups,"Combination exercise involving a mountain climber and a push-up, targeting multiple muscle groups including the chest, shoulders, and core.","1. Start in a plank position with your hands shoulder-width apart. 2. Perform one push-up. 3. After the push-up, bring one knee towards the same elbow in a mountain climber motion. 4. Return to the plank position and repeat on the other side.",2,5,8,80,
43plan,Russian Leg Curl,Hamstring exercise where you use your body weight to lower yourself towards the ground while keeping your legs straight.,"1. Kneel on a soft surface with your feet anchored under something sturdy. 2. Slowly lower your body towards the ground by bending at the knees, keeping your back straight. 3. Use your hamstrings to control the descent. 4. Push yourself back up to the starting position.",2,5,8,80,
43plan,Typewriter Pull-Ups,"Pull-up variation involving lateral movement, performed by pulling up to one side, then moving horizontally and pulling up again.","1. Grip the pull-up bar with hands shoulder-width apart and palms facing away. 2. Pull yourself up towards one side of the bar, bringing your shoulder towards the bar. 3. Move horizontally to the other side of the bar and pull yourself up again. 4. Continue alternating sides in a smooth, controlled motion.",2,5,5,50,
43plan,Side Plank Hip Dips,"Core exercise targeting the obliques, performed from a side plank position with additional hip dips for added intensity.","1. Start in a side plank position with your elbow directly beneath your shoulder and your body in a straight line from head to heels. 2. Lower your hips towards the ground without letting them touch, then raise them back up. 3. Repeat for the desired number of repetitions, then switch sides.",2,5,20,200,
,,,,,,,,
44plan,Burpees,"Full-body exercise combining a squat, push-up, and jump, great for cardiovascular fitness and muscle endurance.",1. Start in a standing position. 2. Drop into a squat position and place your hands on the ground. 3. Kick your feet back into a plank position. 4. Perform a push-up. 5. Jump feet back to the squat position. 6. Jump up explosively.,2,5,10,100,530
44plan,Pike Push-Ups,"A bodyweight exercise targeting the shoulders and upper body, performed in a pike position.",1. Start in a plank position with your hands on the ground and your hips raised high so your body forms an inverted V shape. 2. Lower your head towards the ground by bending your elbows. 3. Push back up to the starting position by straightening your arms.,2,5,8,80,
44plan,Reverse Lunges,"Lower body exercise where you step backward into a lunge position, targeting the quadriceps, hamstrings, and glutes.","1. Stand tall with feet hip-width apart. 2. Take a big step backward with one foot, lowering your hips until both knees are bent at 90 degrees. 3. Push back up to the starting position. 4. Repeat on the other side.",2,5,16,160,
44plan,Bodyweight Rows,A back-strengthening exercise performed by pulling your body weight towards a bar while lying under it at an angle.,"1. Set up a bar at waist height and lie under it with your body in a straight line from head to heels. 2. Grab the bar with an overhand grip, hands shoulder-width apart. 3. Pull your chest towards the bar, squeezing your shoulder blades together. 4. Lower yourself back down with control.",1,5,8,40,
44plan,Russian Twists with Medicine Ball,"Core exercise targeting the obliques, involving twisting the torso from side to side while holding a medicine ball or weight.","1. Sit on the ground with your knees bent and feet lifted off the ground. 2. Hold a medicine ball or weight with both hands in front of your chest. 3. Twist your torso to the right, then to the left, while keeping your core engaged.",2,5,15,150,
,,,,,,,,
45plan,Archer Push-Ups,"Variation of push-ups that targets different parts of the chest and arms, performed with a wider grip and body rotation.","1. Start in a push-up position with your hands wider than shoulder-width apart and fingers pointed outward. 2. Lower your chest towards one hand, keeping your opposite arm straight. 3. Push back up to the starting position and repeat on the other side.",2,5,8,80,530
45plan,Jump Squats,"Explosive lower body exercise involving a squat followed by a jump, targeting the quadriceps, hamstrings, and glutes.","1. Start in a squat position with feet shoulder-width apart. 2. Lower your body into a squat, keeping your chest up and back straight. 3. Explosively jump into the air as high as you can. 4. Land softly back into the squat position and repeat.",2,5,10,100,
45plan,Hanging Knee Raises,"Core exercise targeting the lower abdominals, performed by hanging from a pull-up bar and lifting your knees towards your chest.",1. Hang from a pull-up bar with your arms fully extended and your legs straight. 2. Engage your core muscles and lift your knees towards your chest. 3. Lower your knees back down with control and repeat.,2,5,10,100,
45plan,Crab Walks,"Full-body exercise performed in a crawling position, engaging the core, shoulders, and legs.","1. Start in a seated position with your knees bent and feet flat on the ground, hands behind you with fingers pointing towards your body. 2. Lift your hips off the ground, walking forward or backward by moving opposite hand and foot together. 3. Continue moving in the chosen direction for the desired distance or time.",2,5,15,150,
45plan,Star Jumps,"Explosive full-body exercise involving jumping to spread legs and arms wide, then returning to a standing position.","1. Start in a standing position with feet together and arms at your sides. 2. Jump while spreading legs and arms wide, forming a star shape mid-air. 3. Return to the starting position with feet together and arms at your sides.",2,5,10,100,
,,,,,,,,
46plan,Wide Push-Ups,"Variation of push-ups targeting the chest and shoulders more intensely, performed with hands placed wider than shoulder-width apart.","1. Start in a push-up position with hands placed wider than shoulder-width apart. 2. Lower your chest towards the ground, keeping elbows at a 45-degree angle. 3. Push back up to starting position.",2,5,8,80,570
46plan,Box Step-Ups,"Lower body exercise involving stepping up onto a box or platform, targeting the quadriceps, hamstrings, and glutes.","1. Stand facing a sturdy box or platform with feet hip-width apart. 2. Step onto the box with one foot, driving through the heel to lift your body up. 3. Step back down with the same foot and repeat on the other side.",2,5,16,160,
46plan,Superman Push-Ups,"Dynamic upper body exercise targeting the chest, shoulders, and triceps, involving lifting the arms and legs off the ground.","1. Start in a prone position with arms extended overhead and legs straight. 2. Simultaneously lift arms, chest, and legs off the ground. 3. Hold for a moment, then lower back down.",2,5,8,80,
46plan,Lateral Plank Walks,"Core-strengthening exercise performed from a plank position, involving side-to-side movement to engage the obliques.","1. Start in a plank position with your body in a straight line from head to heels and your hands directly beneath your shoulders. 2. Move your right hand and right foot to the right side, followed by your left hand and left foot, maintaining a straight body. 3. Continue walking sideways for the desired distance or time, then switch directions.",2,5,10,100,
46plan,Grasshoppers,"Dynamic exercise targeting the core and lower body, performed from a plank position with alternating leg movements.","1. Start in a plank position with your hands directly beneath your shoulders and your body in a straight line from head to heels. 2. Jump your feet towards your hands while simultaneously twisting your hips to the left, bringing your right knee towards your left elbow. 3. Jump your feet back to the starting position and repeat on the other side.",2,5,15,150,
,,,,,,,,
47plan,Commando Pull-Ups,"Upper body exercise targeting the back, arms, and core, performed by alternating pulling yourself up towards each hand.","1. Hang from a pull-up bar with an overhand grip, hands slightly wider than shoulder-width apart. 2. Pull yourself up towards one hand, then the other, alternating sides with each repetition. 3. Lower yourself back down with control and repeat.",2,5,5,50,440
47plan,Tuck Jumps,"Explosive lower body exercise involving jumping with knees tucked towards the chest, targeting the quadriceps and glutes.","1. Start in a standing position with feet shoulder-width apart. 2. Jump explosively into the air, bringing your knees up towards your chest. 3. Land softly and immediately jump again.",2,5,10,100,
47plan,Russian Twists,"Core exercise targeting the obliques, involving twisting the torso from side to side while holding a weight or bodyweight.","1. Sit on the ground with your knees bent and feet flat on the floor. 2. Lean back slightly and clasp hands together. 3. Twist torso to the right, then to the left, while keeping core engaged.",1,5,30,150,
47plan,Bodyweight Hamstring Curl,"Lower body exercise targeting the hamstrings, performed lying on your back with feet on a stable surface and lifting your hips.",1. Lie on your back with your feet flat on the ground and your knees bent. 2. Lift your hips towards the ceiling by engaging your hamstrings and glutes. 3. Lower your hips back down and repeat.,2,5,10,100,
47plan,Wall Walks,"Upper body and core exercise performed against a wall, involving walking your hands up and down while in a plank position.","1. Start in a plank position facing away from the wall, with your feet against the wall and your hands on the ground shoulder-width apart. 2. Walk your hands towards the wall, bringing your body into an inverted position. 3. Walk your hands back down to return to the plank position.",2,5,4,40,
,,,,,,,,
48plan,Muscle-Ups,"Advanced upper body exercise combining a pull-up and a dip, requiring explosive strength and coordination.","1. Hang from a bar with a grip slightly wider than shoulder-width apart. 2. Pull yourself up explosively, then transition smoothly into a dip.",2,5,4,40,400
48plan,Bulgarian Split Squat Jumps,"Explosive lower body exercise combining a split squat with a jump, targeting the quadriceps, hamstrings, and glutes.","1. Start in a split squat position with one foot forward and one foot back, both knees bent at 90-degree angles. 2. Push explosively off the ground, switching legs mid-air.",2,5,8,80,
48plan,Hanging Leg Raises,"Core exercise targeting the lower abdominals, performed by hanging from a pull-up bar and lifting your legs towards your chest.",1. Hang from a pull-up bar with your arms fully extended and your legs straight. 2. Engage your core muscles and lift your legs towards your chest.,2,5,10,100,
48plan,Plank to Push-Up,"Dynamic exercise combining a plank with a push-up, engaging the core, chest, shoulders, and triceps.",1. Start in a plank position with your hands directly beneath your shoulders and your body in a straight line from head to heels. 2. Lower yourself into a push-up. 3. Push back up to the plank position.,2,5,12,120,
48plan,Wall Angels,"Shoulder mobility exercise performed against a wall, involving moving the arms through a full range of motion.","1. Stand with your back against a wall and your arms bent at 90-degree angles, elbows and wrists touching the wall. 2. Slide your arms up and down the wall, maintaining contact with elbows, wrists, and back.",1,5,12,60,
,,,,,,,,
49plan,Archer Push-Ups,"Variation of push-ups targeting different parts of the chest and arms, performed with a wider grip and body rotation.","1. Start in a push-up position with your hands wider than shoulder-width apart and fingers pointed outward. 2. Lower your chest towards one hand, keeping your opposite arm straight. 3. Push back up to the starting position and repeat on the other side.",2,5,8,80,373
49plan,Jumping Lunges,"Lower body exercise involving alternating lunges with explosive jumps, targeting the quadriceps, hamstrings, and glutes.","1. Start in a lunge position with one foot forward and one foot back, both knees bent at 90-degree angles. 2. Push explosively off the ground, switching legs mid-air.",2,5,20,100,
49plan,Scapular Push-Ups,"Upper body exercise targeting the muscles surrounding the shoulder blades, performed in a push-up position with scapular movement.","1. Start in a plank position with your hands directly beneath your shoulders and your body in a straight line from head to heels. 2. Squeeze your shoulder blades together, then push them apart while maintaining plank position.",1,5,12,60,
49plan,Side Planks,"Core-strengthening exercise performed from a side plank position, targeting the obliques and lateral muscles.","1. Start in a side plank position with your elbow directly beneath your shoulder and your body in a straight line from head to heels. 2. Hold this position, keeping your body in a straight line and your core engaged.",2,5,60,13,
49plan,V-Ups,"Core exercise targeting the upper and lower abdominals, performed by lifting the upper and lower body into a V shape.","1. Lie on your back with your arms extended overhead and your legs straight. 2. Simultaneously lift your legs and upper body towards each other, forming a V shape. 3. Lower back down with control and repeat.",2,5,12,120,
,,,,,,,,
50plan,Pike Press,"Upper body exercise targeting the shoulders and triceps, performed in a pike position with an emphasis on shoulder flexion.",1. Start in a plank position with your hands on the ground and your hips raised high so your body forms an inverted V shape. 2. Lower your head towards the ground by bending your elbows. 3. Push back up to the starting position by straightening your arms.,2,5,8,80,292
50plan,Box Jumps,"Explosive lower body exercise involving jumping onto a box or platform, targeting the quadriceps, hamstrings, and glutes.","1. Stand facing a sturdy box or platform with feet hip-width apart. 2. Jump onto the box with both feet, using your arms for momentum. 3. Land softly on the box and step back down to the starting position.",2,5,8,80,
50plan,Hanging Knee Raises,"Core exercise targeting the lower abdominals, performed by hanging from a pull-up bar and lifting your knees towards your chest.",1. Hang from a pull-up bar with your arms fully extended and your legs straight. 2. Engage your core muscles and lift your knees towards your chest. 3. Lower your knees back down with control and repeat.,2,5,10,100,
50plan,Reverse Planks,"Core and shoulder exercise performed in a reverse plank position, engaging the muscles of the back, shoulders, and core.","1. Sit on the ground with your legs extended in front of you and your hands placed on the ground behind your hips, fingers pointing towards your feet. 2. Lift your hips off the ground, creating a straight line from head to heels. 3. Hold this position, keeping your core engaged and your body in a straight line.",2,5,30,6,
50plan,Jump Rope,"Cardiovascular exercise involving jumping over a rope, great for improving coordination, agility, and cardiovascular fitness.","1. Hold the handles of the jump rope in each hand, keeping your elbows close to your sides. 2. Swing the rope over your head and jump over it with both feet. 3. Continue jumping with a consistent rhythm, landing softly on the balls of your feet.",2,5,2,26,
